,party,year,matched_keywords_all,n_hits_body_total,body,relevant_len_words,total_len_words
1,50PLUS,2025,"['ai', 'artificiële intelligentie', 'kunstmatige intelligentie']",4,...met specifieke aandacht voor internetgebruik online bankieren en sociale media door lokale gemeenschappen bibliotheken en seniorenverenigingen. • Digitale zaken en AI-implementatie worden door de overheid beter gecoördineerd. • Kunstmatige Intelligentie (AI) in dienst van ouderen. AI biedt enorme kansen voor ouderen. 50PLUS omarmt technologie die het leven makkelijker maakt zorg verbetert en ouderen langer zelfstandig laat dan dat van onze buurlanden. Meer elektriciteit opwekken is nodig als Nederland wil meedoen met de revolutie van high-tech en artificiële intelligentie. Door het oplossen van knelpunten kunnen we grote bedrijven behouden en aantrekken. We kiezen voor: • Snelle voortgang met...,96,4169
3,GroenLinks,2019,['artificial intelligence'],2,...judicial independence and freedom of the press in some states; a rapidly ageing population; the revolutionary impact of technology especially artificial intelligence and questionable handling of personal data; unfair trading practices and the challenges brought by competition from other rising economies We believe the EU should be the first to create a solid legal framework for new technologies such as blockchain artificial intelligence and others to be used in the economy and public life. Legislation should however be focused on applications that...,82,5773
7,BBB,2023,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",8,...zowel aan docenten als aan leerlingen gegeven worden. De over heid heeft een rol om informatie over diverse onderwerpen zoals AI social media gebruik en andere zaken te verstrekken. Het aanleren van digitale geletterdheid in het onderwijs is essentieel om ervoor in het cyberdomein het hoofd te kunnen bieden. Wij zetten ons in voor het creëren van mogelijkheden om datawetenschap en kunstmatige intelligentie effectief te benutten voor een verbeterde overheidsdienstverlening. Wij streven ook naar gebruiksvriendelijke digitale oplossingen om de overheid nog toegankelijker (bijvoorbeeld de creatieve sector) te ondersteunen en misinformatie actief te bestrijden. BBB wil hiervoor een nieuwe nationale strategie digitalisering ontwikkelen. AI biedt ontzettend veel kansen maar ook risico’s. Transparantie staat bij deze dan ook altijd voorop. Wij bevorderen het gebruik van Het maken van zogenaamde deep fakes zonder voorafgaa audiogebied is een groot probleem en strafbaar. Het is be nders digit AI biedt ontzettend veel kansen maar ook risico’s. T nolog e We zorgen ervoor dat Nederland een van de k nolog ziekenhuizen overheidsdiensten financiële instellingen scholen of militaire installaties plat te leggen. We moeten bereid zijn te investeren in technologie en artificial intelligence om de onzichtbare kracht te versterken en de onzichtbare dreigingen het hoofd te bieden. Onze veteranen verdienen een bijzondere...,207,91202
8,BBB,2024,['kunstmatige intelligentie'],2,...voor onderzoek breder inzetten en het MKB en start-ups beter bij innovatie ondersteunen. Ook ‘fundamenteel onderzoek’ moet niet worden vergeten. Kunstmatige intelligentie. BBB omarmt de ontwikkeling van kunstmatige intelligentie. Regulering mag er niet toe leiden dat bedrijven vertrekken naar landen buiten de EU. Desinformatie. BBB is tegen een...,49,3798
9,BBB,2024,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",12,...noodzakelijke investeringen kunnen doen maar zal ook ten koste van kleine innovatieve aanbieders kunnen gaan. BBB volgt de ontwikkelingen kritisch. Kunstmatige intelligentie. De Europese Unie heeft op het terrein kunstmatige intelligentie of artificial intelligence (AI) een achterstand ten opzichte van zowel de VS als China. Toch is de Europese Unie de eerste om een breed pakket aan regelgeving voor AI te presenteren. BBB volgt kritisch wat de gevolgen zijn voor de markt. Indien de regelgeving ertoe leidt dat bedrijven wegtrekken pleit BBB voor spoedige versoepeling. We moeten voorkomen dat de boot verder vaart en we daarmee de kansen die AI biedt missen en een nieuwe afhankelijkheid opbouwen. BBB ondersteunt Europees onderzoek en innovatieprogramma’s in AI. Afbeeldingen en video’s die met AI zijn gemaakt zijn niet of nauwelijks van echte beelden te onder- scheiden. Zonder een duidelijke identificatie kunnen deze media potentieel hebben zoals het verspreiden van misleidende informatie of het ondermijnen van vertrouwen in authentieke bronnen. Pleit daarom voor een verplicht AI-watermerk zodat deze als zodanig herkenbaar is. Quantumtechnologie. Net als AI brengt quantum-technologie enorme kansen met zich mee. Nedeland is wereldwijd koploper in de ontwikkeling van quantumtechnologie. Het is belangrijk dat van gewassen maar we dreigen door talmend Europees beleid onze voorsprong in kennis en innovatie te verliezen. Innovatie data en AI. BBB steunt de Europese onderzoeksbudgetten voor de land- en tuin- bouwsector en benadrukt het belang om hier blijvend in te BBB vraagt daarbij speciale aandacht voor een programma voor de ontwikkeling van precisielandbouw. Ook pleit BBB bij de regulering van kunstmatige intelligentie (AI) rekening te houden met de kansen die deze technologie biedt voor de landbouwmechanisatie. Door digitalisering krijgen data ook een steeds...,280,23619
12,BBB,2023,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",5,...moet zowel aan docenten als aan leerlingen gegeven worden. De overheid heeft een rol om informatie over diverse onderwerpen zoals AI social media gebruik en andere zaken te verstrekken. Het aanleren van digitale geletterdheid in het onderwijs is essentieel om ervoor in het cyberdomein het hoofd te kunnen bieden. Wij zetten ons in voor het creëren van mogelijkheden om datawetenschap en kunstmatige intelligentie effectief te benutten voor een verbeterde overheidsdienstverlening. Wij streven ook naar gebruiksvriendelijke digitale oplossingen om de overheid nog toegankelijker (bijvoorbeeld de creatieve sector) te ondersteunen en misinformatie actief te bestrijden. BBB wil hiervoor een nieuwe nationale strategie digitalisering ontwikkelen. AI biedt ontzettend veel kansen maar ook risico’s. Transparantie staat bij deze dan ook altijd voorop. Wij bevorderen het gebruik van ziekenhuizen overheidsdiensten financiële instellingen scholen of militaire installaties plat te leggen. We moeten bereid zijn te investeren in technologie en artificial intelligence om de onzichtbare kracht te ver- sterken en de onzichtbare dreigingen het hoofd te bieden. Onze veteranen verdienen een oefenen trainingsfaciliteiten naar de kazernes te brengen en minder regels om te experimenteren. We omarmen het gebruik van drones en kunstmatige intelligentie in een moderne krijgsmacht. Het gebruik en de ontwikkeling van technologie in de krijgsmacht zou niet door politiek beïnvloed...,206,47281
13,BBB,2025,['ai'],6,...zo snel mogelijk uitgevoerd binnen de overheid. Om de overheid voor te bereiden op toekomstige digitale vraagstukken. Verantwoorde inzet van AI. De overheid zet AI op een verantwoorde en doelmatige manier in met nadruk op transparantie menselijk toezicht en het beperken van risico’s. Digitale haalbaarheid. koppen. Er komen geen nationale koppen op Europees beleid om zo het speelveld binnen de EU gelijk te houden. Nederlandse AI-netwerk. Nederland investeert via Defensie structureel in de ontwikkeling van het Nederlandse AI-netwerk waaronder de AI-fabriek in Groningen en lokale AI-hubs. CONCEPT CONCEPT 101 BBB VERKIEZINGSPROGRAMMA 2025 - 2029 Hoofdstuk 14 Onderwijs en Wetenschap CONCEPT CONCEPT 102 BBB VERKIEZINGSPROGRAMMA 2025 -...,109,40152
14,BBB,2025,['ai'],6,...zo snel mogelijk uitgevoerd binnen de overheid. Om de overheid voor te bereiden op toekomstige digitale vraagstukken. Verantwoorde inzet van AI. De overheid zet AI op een verantwoorde en doelmatige manier in met nadruk op transparantie menselijk toezicht en het beperken van risico’s. Digitale haalbaarheid. koppen. Er komen geen nationale koppen op Europees beleid om zo het speelveld binnen de EU gelijk te houden. Nederlandse AI-netwerk. Nederland investeert via Defensie structureel in de ontwikkeling van het Nederlandse AI-netwerk waaronder de AI-fabriek in Groningen en lokale AI-hubs. Hoofdstuk 14 Onderwijs en Wetenschap 103 BBB VERKIEZINGSPROGRAMMA 2025 - 2029 Goed onderwijs dichtbij en voor iedereen Voor BBB staat...,110,40934
27,BVNL,2025,"['ai', 'artificial intelligence', 'kunstmatige intelligentie']",9,...Nederlanderschap dan wel ander verblijfstitel worden ingenomen. Dit geldt voor zowel de organisator als eenieder die hieraan heeft meegewerkt. • AI zal worden ingezet om zorgfraude op te sporen. • Leerlingen en stagiaires worden beter behandeld en meer gewaardeerd en hun toetsingscriteria als voor uitbesteden. Alleen inbesteden als het aantoonbaar beter of goedkoper is. 54 55 ICT DIGITALISERING SOCIAL MEDIA EN ARTIFICIAL INTELLIGENCE De overheid heeft een slechte reputatie als het gaat om interne ICT-projecten. De ICT bij de Belastingdienst is een encryptie te verzwakken of te verbieden en in plaats daarvan investeren in veilige technologieën die privacy en online veiligheid bevorderen. Kunstmatige intelligentie BVNL zet zich in voor de stimulering van onderzoek en innovatie op het gebied van kunstmatige intelligentie en andere digitale technologieën zoals quantumtechnologie. We willen een innovatievriendelijk klimaat creëren waarin bedrijven startups en academici kunnen gedijen. haar digitale dienstverlening op orde heeft burgers helpt om mee te doen met nieuwe digitale ontwikkelingen onderzoek en innovatie in kunstmatige intelligentie stimuleert en de privacy van burgers waarborgt. BVNL streeft naar een digitale toekomst waarin rechten en vrijheden worden gerespecteerd behoren kunnen functioneren. • Er komt geen “Ministerie van Waarheid” en alternatieve media en onwelgevallige meningen zijn geen ‘desinformatie’. • Artificial Intelligence (AI) is een welkome innovatie mits er zorgvuldig mee wordt omgegaan. Het is een taak voor de overheid om na te gaan hoe AI 58 bijvoorbeeld kan worden geïncorporeerd in het onderwijs. Privacy is een groot goed en AI mag geen gevaar worden voor onze privacy. • De overheid zal geen medewerking verlenen aan het invoeren van programmeerbaar geld....,258,12515
28,BIJ1,2023,"['ai', 'kunstmatige intelligentie']",10,...eerherstel voor 1257 dienstweigeraars uit het verleden. 1258 1259 4. Er komt per direct een stop op het ontwikkelen van AI-systemen voor militaire doeleinden: de ontwikkeling en het gebruik van AI zijn nog altijd doordrongen van 1261 discriminerende algoritmes en data. In de praktijk leidt dit ertoe dat gemarginaliseerde 1262 groepen disproportioneel harder worden getroffen door de gevolgen van 1263 onrechtvaardige AI-systemen. 1264 5. Nederland ondertekent het verbodsverdrag voor kernwapens en toont zich 1266 ambassadeur van deze verdragen. Financiële instellingen en bedrijven 1700 1705 1710 1715 1720 1683 4. Het ontwikkelen onderhouden en innoveren van technologische ontwikkelingen zoals 1684 het gebruik van AI berust op de uitbuiting van grondstoffen en mensen uit het Globale Zuiden terwijl het slechts ten goede komt aan het gesteld goede controle te kunnen uitoefenen op ‘Big Tech' en de overheid in het 1711 bijzonder waar het gaat om AI. 1712 1713 6. Er komt een integrale aanpak om techbedrijven aan te pakken die misbruik maken van 1714 geavanceerde kunstmatige intelligentie (AI) en algoritmes. Dit omvat onder andere optreden tegen het promoten van mis- en disinformatie en racisme door techbedrijven 1716 en scoren van medewerkers en verdelen van werk met algoritmes 1717 in de tech platform economie. De data en informatie waar AI-systemen op zijn gebouwd 1718 zijn niet discriminerend of zonder toestemming van en vergoeding voor de 1719 oorspronkelijke bron ingezet. TECHNOLOGIE etniciteit en nationaliteit in risicoprofielen. 3. Discriminerende algoritmen worden verboden en ontmanteld. Er komt een instantie die mensenrechtentoetsen uitvoert op AI-software die de software reguleert en keurt voordat het op de markt komt zodat discriminatie wordt voorkomen en mensenrechten bevorderd en...,272,20134
